district,dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,uvi,visibility,wind_speed,wind_gust,wind_deg,rain_1h,snow_1h,weather_id,weather_main,weather_description,weather_icon
Dublin 1,2025-02-22 08:00:11,2025-02-22 07:28:25,2025-02-22 17:48:58,281.02,278.02,1006,83,,20,0.08,,5.14,,,,,801,Clouds,few clouds,02d
Dublin 1,2025-02-22 09:01:07,2025-02-22 07:28:25,2025-02-22 17:48:58,282.45,280.24,1007,78,,20,0.3,,4.12,,,,,801,Clouds,few clouds,02d
Dublin 1,2025-02-22 10:02:02,2025-02-22 07:28:25,2025-02-22 17:48:58,283.71,282.73,1008,73,,20,0.61,,4.63,,,,,801,Clouds,few clouds,02d
Dublin 1,2025-02-22 11:02:58,2025-02-22 07:28:25,2025-02-22 17:48:58,283.96,283.05,1009,75,,20,0.93,,4.63,,,,,801,Clouds,few clouds,02d
Dublin 1,2025-02-22 12:03:53,2025-02-22 07:28:25,2025-02-22 17:48:58,284.59,283.72,1010,74,,40,1.13,,7.2,,,,,802,Clouds,scattered clouds,03d
Dublin 1,2025-02-22 13:04:49,2025-02-22 07:28:25,2025-02-22 17:48:58,285.53,284.6,1010,68,,40,1.14,,7.72,,,,,802,Clouds,scattered clouds,03d
Dublin 1,2025-02-22 14:05:44,2025-02-22 07:28:25,2025-02-22 17:48:58,285.91,284.91,1011,64,,40,0.92,,8.75,,,,,802,Clouds,scattered clouds,03d
Dublin 1,2025-02-22 15:06:42,2025-02-22 07:28:25,2025-02-22 17:48:58,285.83,284.85,1011,65,,40,0.6,,6.17,11.32,,,,802,Clouds,scattered clouds,03d
Dublin 1,2025-02-22 16:07:37,2025-02-22 07:28:25,2025-02-22 17:48:58,285.64,284.64,1012,65,,40,0.28,,4.12,,,,,802,Clouds,scattered clouds,03d
Dublin 1,2025-02-22 17:08:33,2025-02-22 07:28:25,2025-02-22 17:48:58,285.5,284.41,1013,62,,20,0.0,,3.09,,,,,801,Clouds,few clouds,02d
Dublin 1,2025-02-22 18:09:29,2025-02-22 07:28:25,2025-02-22 17:48:58,283.62,282.45,1013,66,,20,0.0,,2.57,,,,,801,Clouds,few clouds,02n
Dublin 1,2025-02-22 19:10:24,2025-02-22 07:28:25,2025-02-22 17:48:58,282.4,281.42,1014,71,,20,0.0,,2.06,,,,,801,Clouds,few clouds,02n
Dublin 1,2025-02-22 20:11:19,2025-02-22 07:28:25,2025-02-22 17:48:58,281.44,279.55,1014,76,,20,0.0,,3.09,,,,,801,Clouds,few clouds,02n
Dublin 10,2025-02-22 08:00:39,2025-02-22 07:28:47,2025-02-22 17:49:21,280.83,277.78,1006,84,,20,0.08,,5.14,,,,,801,Clouds,few clouds,02d
