time,temperature_celsius,relative_humidity_percent,barometric_pressure_hpa,is_holiday,is_weekend,available_bikes,available_docks,hour_sin,hour_cos
2024-12-01 00:00:00,13.94,84.46,1002.45,0.0,1.0,1.0,24.0,0.0,1.0
2024-12-01 01:00:00,13.49,87.66,1001.67,0.0,1.0,1.0,24.0,0.269797,0.962917
2024-12-01 02:00:00,13.49,87.66,1001.67,0.0,1.0,1.0,24.0,0.519584,0.854419
2024-12-01 03:00:00,13.49,87.66,1001.67,0.0,1.0,1.0,24.0,0.730836,0.682553
2024-12-01 04:00:00,12.25,88.14,1000.22,0.0,1.0,1.0,24.0,0.887885,0.460065
2024-12-01 05:00:00,12.25,88.14,1000.22,0.0,1.0,1.0,24.0,0.979084,0.203456
2024-12-01 06:00:00,11.35,90.0,1000.14,0.0,1.0,2.0,23.0,0.997669,-0.068242
2024-12-01 07:00:00,11.35,90.0,1000.14,0.0,1.0,2.0,23.0,0.942261,-0.33488
2024-12-01 08:00:00,12.17,87.61,1000.44,0.0,1.0,0.0,24.0,0.81697,-0.57668
2024-12-01 09:00:00,12.17,87.61,1000.44,0.0,1.0,0.0,24.0,0.631088,-0.775711
2024-12-01 10:00:00,12.79,83.66,1000.56,0.0,1.0,0.0,25.0,0.398401,-0.917211
2024-12-01 11:00:00,13.55,78.37,1000.6,0.0,1.0,0.0,25.0,0.136167,-0.990686
2024-12-01 12:00:00,12.85,80.96,1000.62,0.0,1.0,0.0,25.0,-0.136167,-0.990686
2024-12-01 13:00:00,12.77,80.18,1000.27,0.0,1.0,0.0,25.0,-0.398401,-0.917211
2024-12-01 14:00:00,12.37,83.14,1000.14,0.0,1.0,0.0,25.0,-0.631088,-0.775711
2024-12-01 15:00:00,12.06,86.08,1000.15,0.0,1.0,1.0,24.0,-0.81697,-0.57668
2024-12-01 16:00:00,11.02,92.8,1000.49,0.0,1.0,1.0,24.0,-0.942261,-0.33488
2024-12-01 17:00:00,9.99,93.52,1001.13,0.0,1.0,1.0,24.0,-0.997669,-0.068242
2024-12-01 18:00:00,9.06,91.44,1001.73,0.0,1.0,4.0,21.0,-0.979084,0.203456
2024-12-01 19:00:00,8.53,90.72,1001.83,0.0,1.0,3.0,22.0,-0.887885,0.460065
2024-12-01 20:00:00,8.53,90.72,1001.83,0.0,1.0,3.0,22.0,-0.730836,0.682553
2024-12-01 21:00:00,8.73,89.46,1001.75,0.0,1.0,2.0,23.0,-0.519584,0.854419
2024-12-01 22:00:00,8.73,89.46,1001.75,0.0,1.0,2.0,23.0,-0.269797,0.962917
2024-12-01 23:00:00,8.52,94.2,1003.39,0.0,0.0,2.0,23.0,-0.0,1.0
2024-12-02 00:00:00,8.52,94.2,1003.39,0.0,0.0,2.0,23.0,0.0,1.0
2024-12-02 01:00:00,8.52,94.2,1003.39,0.0,0.0,2.0,23.0,0.269797,0.962917
2024-12-02 02:00:00,7.52,88.04,1005.54,0.0,0.0,2.0,23.0,0.519584,0.854419
2024-12-02 03:00:00,7.52,88.04,1005.54,0.0,0.0,2.0,23.0,0.730836,0.682553
2024-12-02 04:00:00,7.52,88.04,1005.54,0.0,0.0,2.0,23.0,0.887885,0.460065
2024-12-02 05:00:00,6.17,86.66,1007.03,0.0,0.0,2.0,23.0,0.979084,0.203456
2024-12-02 06:00:00,6.51,83.2,1008.37,0.0,0.0,0.0,24.0,0.997669,-0.068242
2024-12-02 07:00:00,5.06,87.02,1009.46,0.0,0.0,1.0,24.0,0.942261,-0.33488
2024-12-02 08:00:00,4.58,88.02,1010.78,0.0,0.0,1.0,24.0,0.81697,-0.57668
2024-12-02 09:00:00,4.64,87.21,1011.79,0.0,0.0,1.0,24.0,0.631088,-0.775711
2024-12-02 10:00:00,5.43,80.61,1012.6,0.0,0.0,0.0,25.0,0.398401,-0.917211
2024-12-02 11:00:00,6.14,73.53,1013.18,0.0,0.0,1.0,24.0,0.136167,-0.990686
2024-12-02 12:00:00,6.2,70.68,1013.34,0.0,0.0,2.0,23.0,-0.136167,-0.990686
2024-12-02 13:00:00,6.18,68.64,1013.97,0.0,0.0,0.0,24.0,-0.398401,-0.917211
2024-12-02 14:00:00,5.92,68.82,1014.23,0.0,0.0,1.0,24.0,-0.631088,-0.775711
2024-12-02 15:00:00,5.33,68.76,1014.72,0.0,0.0,3.0,22.0,-0.81697,-0.57668
2024-12-02 16:00:00,3.87,71.44,1015.19,0.0,0.0,2.0,22.0,-0.942261,-0.33488
2024-12-02 17:00:00,3.2,79.48,1015.39,0.0,0.0,1.0,24.0,-0.997669,-0.068242
2024-12-02 18:00:00,3.2,79.48,1015.39,0.0,0.0,1.0,24.0,-0.979084,0.203456
2024-12-02 19:00:00,3.2,79.48,1015.39,0.0,0.0,1.0,24.0,-0.887885,0.460065
2024-12-02 20:00:00,1.09,91.76,1016.04,0.0,0.0,1.0,24.0,-0.730836,0.682553
2024-12-02 21:00:00,1.09,91.76,1016.04,0.0,0.0,1.0,24.0,-0.519584,0.854419
2024-12-02 22:00:00,1.09,91.76,1016.04,0.0,0.0,1.0,24.0,-0.269797,0.962917
2024-12-02 23:00:00,-0.43,94.54,1016.38,0.0,0.0,3.0,22.0,-0.0,1.0
2024-12-03 00:00:00,-1.08,95.41,1016.66,0.0,0.0,3.0,22.0,0.0,1.0
2024-12-03 01:00:00,-1.08,95.41,1016.66,0.0,0.0,3.0,22.0,0.269797,0.962917
2024-12-03 02:00:00,-1.8,96.81,1016.03,0.0,0.0,3.0,22.0,0.519584,0.854419
2024-12-03 03:00:00,-1.7,96.78,1016.05,0.0,0.0,3.0,22.0,0.730836,0.682553
2024-12-03 04:00:00,-1.7,96.78,1016.05,0.0,0.0,3.0,22.0,0.887885,0.460065
2024-12-03 05:00:00,-2.5,95.61,1015.66,0.0,0.0,3.0,22.0,0.979084,0.203456
2024-12-03 06:00:00,-2.5,95.61,1015.66,0.0,0.0,3.0,22.0,0.997669,-0.068242
2024-12-03 07:00:00,-2.81,96.55,1015.36,0.0,0.0,2.0,22.0,0.942261,-0.33488
2024-12-03 08:00:00,-2.81,96.55,1015.36,0.0,0.0,2.0,22.0,0.81697,-0.57668
2024-12-03 09:00:00,-1.88,97.39,1015.36,0.0,0.0,1.0,24.0,0.631088,-0.775711
2024-12-03 10:00:00,0.24,97.69,1016.07,0.0,0.0,0.0,25.0,0.398401,-0.917211
2024-12-03 11:00:00,3.4,89.34,1015.9,0.0,0.0,0.0,25.0,0.136167,-0.990686
2024-12-03 12:00:00,5.61,75.49,1014.81,0.0,0.0,2.0,24.0,-0.136167,-0.990686
2024-12-03 13:00:00,5.9,73.06,1015.02,0.0,0.0,0.0,25.0,-0.398401,-0.917211
2024-12-03 14:00:00,7.16,74.12,1014.91,0.0,0.0,0.0,25.0,-0.631088,-0.775711
2024-12-03 15:00:00,7.61,78.58,1015.11,0.0,0.0,0.0,25.0,-0.81697,-0.57668
2024-12-03 16:00:00,7.59,81.33,1015.2,0.0,0.0,1.0,24.0,-0.942261,-0.33488
2024-12-03 17:00:00,7.19,85.53,1014.67,0.0,0.0,0.0,24.0,-0.997669,-0.068242
2024-12-03 18:00:00,7.96,86.65,1014.35,0.0,0.0,2.0,23.0,-0.979084,0.203456
2024-12-03 19:00:00,8.56,88.14,1014.66,0.0,0.0,2.0,24.0,-0.887885,0.460065
2024-12-03 20:00:00,8.56,88.14,1014.66,0.0,0.0,2.0,24.0,-0.730836,0.682553
2024-12-03 21:00:00,8.56,88.14,1014.66,0.0,0.0,2.0,24.0,-0.519584,0.854419
2024-12-03 22:00:00,6.8,96.28,1017.5,0.0,0.0,3.0,22.0,-0.269797,0.962917
2024-12-03 23:00:00,6.8,96.28,1017.5,0.0,0.0,3.0,22.0,-0.0,1.0
2024-12-04 00:00:00,6.8,96.28,1017.5,0.0,0.0,3.0,22.0,0.0,1.0
2024-12-04 01:00:00,6.8,96.28,1017.5,0.0,0.0,3.0,22.0,0.269797,0.962917
2024-12-04 02:00:00,6.46,96.48,1017.64,0.0,0.0,3.0,22.0,0.519584,0.854419
2024-12-04 03:00:00,6.46,96.48,1017.64,0.0,0.0,3.0,22.0,0.730836,0.682553
2024-12-04 04:00:00,6.46,96.48,1017.64,0.0,0.0,3.0,22.0,0.887885,0.460065
2024-12-04 05:00:00,3.65,97.18,1016.75,0.0,0.0,3.0,22.0,0.979084,0.203456
2024-12-04 06:00:00,2.08,98.04,1016.43,0.0,0.0,3.0,22.0,0.997669,-0.068242
2024-12-04 07:00:00,2.08,98.04,1016.43,0.0,0.0,3.0,22.0,0.942261,-0.33488
2024-12-04 08:00:00,2.92,98.78,1015.52,0.0,0.0,2.0,23.0,0.81697,-0.57668
2024-12-04 09:00:00,3.49,98.87,1015.0,0.0,0.0,4.0,22.0,0.631088,-0.775711
